,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
11992,Female,Group c,High school,Free,Start,Married,Sometimes,Yes,1,School_bus,5-10,47,57,50
11993,Male,Group c,college degree,Standard,Start,Married,Never,Yes,0,School_bus,5-10,56,49,45
11994,Male,Group d,High school,Free,Start,Married,Regularly,Yes,2,Private car,0-5,53,34,39
11995,Female,Group b,college degree,Standard,Start,Married,Regularly,No,1,Private car,0-5,63,66,75
11996,Female,Group c,Professional certification,Standard,Start,Married,Sometimes,No,2,Own car,0-10,69,61,69
11997,Female,Group d,law degree,Standard,Start,Married,Regularly,No,2,School_bus,5-10,65,78,84
11998,Male,Group b,Associate's degree,Free,Start,Divorced,Regularly,Yes,2,Private car,5-10,47,36,38
11999,Male,Group d,High school,Free,Start,Single,Never,No,3,Own car,5-10,62,61,56
12000,Male,Group e,college degree,Free,Start,Single,Sometimes,Yes,2,Private car,0-5,85,85,78
12001,Male,Group e,High school,Standard,Completed,Divorced,Regularly,Yes,2,School_bus,0-10,80,71,76
12002,Female,Group d,college degree,Standard,Start,Divorced,Regularly,Yes,3,School_bus,0-10,79,77,81
12003,Female,Group e,college degree,Standard,Start,Divorced,Sometimes,Yes,5,School_bus,5-10,78,77,72
12004,Female,Group d,High school,Standard,Start,Married,Sometimes,No,1,Private car,5-10,58,63,62
12005,Female,Group a,High school,Standard,Start,Single,Sometimes,No,3,School_bus,0-5,50,66,66
12006,Female,Group b,Associate's degree,Standard,Start,Divorced,Sometimes,Yes,4,Own car,0-5,50,64,60
12007,Male,Group b,Professional certification,Free,Start,Married,Sometimes,Yes,3,Private car,5-10,52,50,49
12008,Male,Group d,law degree,Standard,Completed,Single,Sometimes,No,2,Private car,5-10,79,77,82
12009,Female,Group e,Associate's degree,Standard,Completed,Single,Never,Yes,2,Own car,5-10,93,89,97
12010,Female,Group c,law degree,Standard,Start,Married,Sometimes,No,3,School_bus,0-5,78,80,78
12011,Female,Group f,college degree,Standard,Completed,Divorced,Sometimes,Yes,1,Private car,0-10,52,64,65
12012,Female,Group b,Associate's degree,Free,Start,Married,Regularly,Yes,1,School_bus,5-10,66,79,76
12013,Male,Group d,college degree,Standard,Start,Married,Sometimes,Yes,3,School_bus,5-10,79,78,79
12014,Female,Group e,law degree,Standard,Completed,Married,Never,No,2,Own car,5-10,79,86,94
12015,Male,Group f,Professional certification,Standard,Start,Single,Regularly,Yes,1,School_bus,5-10,39,45,46
12016,Male,Group d,High school,Standard,Start,Divorced,Sometimes,Yes,2,School_bus,5-10,65,56,52
12017,Male,Group e,Associate's degree,Standard,Start,Divorced,Sometimes,Yes,0,Private car,0-10,73,57,58
12018,Male,Group b,law degree,Standard,Start,Married,Sometimes,No,5,Private car,0-10,60,54,55
12019,Female,Group d,Associate's degree,Standard,Start,Married,Regularly,Yes,3,School_bus,0-5,71,84,83
12020,Female,Group c,High school,Standard,Start,Divorced,Sometimes,No,3,Private car,0-5,48,60,54
12021,Male,Group d,college degree,Standard,In progress,Divorced,Never,No,2,Private car,5-10,90,70,75
12022,Female,Group b,law degree,Standard,Completed,Married,Never,Yes,3,School_bus,0-5,65,73,78
12023,Female,Group e,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,79,79,80
12024,Male,Group b,law degree,Free,Start,Married,Regularly,Yes,2,Private car,0-10,49,46,41
12025,Male,Group f,Master's degree,Free,Start,Divorced,Sometimes,Yes,3,School_bus,5-10,69,83,72
12026,Female,Group e,Associate's degree,Standard,Start,Married,Sometimes,Yes,6,Own car,5-10,75,72,74
12027,Female,Group b,High school,Standard,Start,Single,Regularly,No,2,Own car,0-10,56,63,65
12028,Female,Group c,law degree,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,46,40,43
12029,Male,Group c,law degree,Free,Completed,Single,Never,Yes,1,School_bus,0-10,76,79,77
12031,Male,Group c,Associate's degree,Standard,Start,Married,Never,Yes,2,Private car,10-15,67,71,74
12032,Male,Group c,Associate's degree,Free,Start,Widowed,Regularly,No,2,School_bus,0-5,53,56,51
12033,Female,Group e,High school,Standard,Completed,Single,Regularly,No,3,Private car,5-10,80,91,91
12034,Female,Group c,Associate's degree,Free,Start,Single,Regularly,Yes,0,School_bus,0-10,73,93,83
12035,Male,Group e,High school,Standard,Start,Married,Regularly,Yes,2,Private car,5-10,77,64,57
12036,Male,Group b,Associate's degree,Free,Start,Married,Sometimes,Yes,2,Private car,0-5,42,47,43
12037,Female,Group d,college degree,Standard,Start,Married,Sometimes,No,1,School_bus,5-10,90,87,92
12038,Male,Group d,college degree,Standard,Start,Single,Sometimes,No,1,School_bus,5-10,71,64,62
12040,Female,Group b,Professional certification,Free,Completed,Single,Sometimes,Yes,1,Private car,0-10,35,41,46
12041,Male,Group d,Master's degree,Free,Completed,Divorced,Never,Yes,2,Own car,0-10,86,93,90
12042,Female,Group d,Bachelor's degree,Free,Completed,Married,Sometimes,Yes,1,School_bus,5-10,64,82,78
12043,Male,Group e,college degree,Standard,Completed,Single,Never,Yes,2,Private car,5-10,97,83,85
12044,Male,Group d,law degree,Standard,Start,Single,Sometimes,No,1,Private car,0-10,60,56,51
12045,Female,Group c,Bachelor's degree,Standard,In progress,Divorced,Sometimes,Yes,2,Private car,5-10,46,65,58
12046,Female,Group b,Associate's degree,Free,Start,Married,Regularly,Yes,2,School_bus,0-10,68,67,66
12047,Female,Group c,law degree,Free,Completed,Married,Sometimes,No,2,Private car,5-10,56,65,69
12048,Male,Group c,college degree,Standard,Start,Married,Regularly,Yes,3,Private car,0-5,78,84,76
12049,Male,Group c,Bachelor's degree,Free,Completed,Single,Sometimes,Yes,1,Own car,5-10,76,76,79
12050,Male,Group c,Associate's degree,Free,Completed,Single,Sometimes,Yes,3,School_bus,5-10,85,77,80
12051,Female,Group c,Master's degree,Standard,Completed,Married,Regularly,No,1,School_bus,5-10,86,98,100
12052,Female,Group c,Bachelor's degree,Standard,Start,Married,Regularly,No,1,School_bus,0-5,68,65,72
12053,Female,Group b,Associate's degree,Free,In progress,Married,Sometimes,No,2,School_bus,5-10,79,90,86
12054,Female,Group d,High school,Standard,Start,Married,Sometimes,Yes,0,School_bus,0-5,50,60,57
12055,Male,Group d,Associate's degree,Standard,Start,Married,Never,Yes,1,Own car,5-10,80,88,84
12056,Female,Group c,High school,Standard,Start,Single,Sometimes,Yes,3,Private car,5-10,76,89,86
12057,Female,Group d,law degree,Standard,Start,Married,Sometimes,Yes,1,School_bus,5-10,34,41,45
12058,Male,Group a,High school,Standard,Start,Married,Sometimes,Yes,5,Private car,0-10,58,58,55
12059,Male,Group b,Associate's degree,Standard,Completed,Married,Regularly,Yes,2,School_bus,5-10,71,69,69
12060,Female,Group d,college degree,Standard,Start,Married,Sometimes,Yes,1,School_bus,5-10,58,53,59
12061,Male,Group d,Associate's degree,Standard,In progress,Single,Regularly,No,1,School_bus,5-10,70,63,62
12062,Male,Group a,Associate's degree,Standard,Start,Single,Never,No,1,School_bus,10-15,60,59,55
12063,Male,Group b,Master's degree,Standard,Start,Married,Sometimes,Yes,4,Own car,0-5,90,81,75
12064,Female,Group c,High school,Free,Start,Single,Sometimes,Yes,3,Private car,0-5,36,49,47
12065,Female,Group f,Professional certification,Standard,Completed,Single,Regularly,No,2,Own car,0-5,55,71,72
12066,Female,Group c,college degree,Standard,Completed,Divorced,Never,No,2,Private car,10-15,76,83,80
12067,Male,Group e,law degree,Standard,Start,Married,Sometimes,Yes,1,Private car,5-10,69,67,63
12068,Male,Group c,Associate's degree,Standard,Start,Married,Never,Yes,5,Private car,0-5,54,54,47
12069,Female,Group d,Master's degree,Free,Start,Married,Sometimes,Yes,1,Own car,5-10,57,73,74
12070,Male,Group b,High school,Standard,Start,Single,Regularly,Yes,0,School_bus,0-10,64,59,55
12071,Male,Group b,law degree,Standard,Start,Married,Never,Yes,0,School_bus,10-15,78,87,75
12072,Female,Group e,college degree,Free,Completed,Married,Regularly,No,4,School_bus,0-10,59,56,57
12073,Female,Group d,Associate's degree,Standard,Completed,Married,Sometimes,Yes,3,School_bus,5-10,79,94,89
12074,Male,Group b,law degree,Free,Completed,Single,Regularly,No,2,Private car,5-10,77,77,79
12075,Female,Group c,Associate's degree,Standard,Start,Married,Sometimes,No,1,School_bus,5-10,78,95,93
12076,Male,Group d,Associate's degree,Standard,Start,Married,Regularly,No,4,Private car,0-10,81,76,78
12077,Female,Group d,High school,Free,Completed,Married,Sometimes,No,1,School_bus,5-10,61,65,71
12078,Female,Group c,law degree,Free,Completed,Married,Sometimes,No,2,School_bus,5-10,57,76,80
12079,Female,Group c,college degree,Free,Start,Single,Regularly,Yes,1,School_bus,5-10,37,48,37
12081,Female,Group f,High school,Standard,Start,Single,Sometimes,No,1,Private car,5-10,48,57,60
12082,Female,Group a,law degree,Standard,Start,Widowed,Regularly,Yes,3,School_bus,0-5,68,73,76
12083,Male,Group b,law degree,Free,Start,Married,Sometimes,Yes,4,Private car,0-5,67,69,65
12084,Male,Group b,Master's degree,Free,In progress,Divorced,Regularly,Yes,3,School_bus,5-10,75,80,76
12085,Male,Group c,college degree,Standard,Start,Single,Regularly,Yes,3,School_bus,0-10,82,66,69
12086,Female,Group d,Professional certification,Free,Start,Married,Sometimes,Yes,4,Private car,5-10,54,54,57
12087,Female,Group b,High school,Free,Start,Married,Regularly,Yes,4,School_bus,0-5,30,46,38
12088,Female,Group d,Associate's degree,Free,Start,Married,Sometimes,Yes,3,School_bus,0-5,36,64,57
12089,Male,Group b,college degree,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,39,43,41
12090,Female,Group b,college degree,Free,Start,Married,Regularly,No,3,Private car,5-10,70,78,80
12091,Female,Group c,Associate's degree,Standard,Start,Single,Regularly,Yes,5,Private car,5-10,86,76,79
12092,Male,Group d,Associate's degree,Standard,Start,Single,Sometimes,Yes,2,School_bus,5-10,52,52,47
12093,Male,Group a,Master's degree,Free,Start,Married,Regularly,No,3,Private car,5-10,49,56,53
12094,Female,Group c,law degree,Standard,Completed,Single,Sometimes,Yes,3,Private car,5-10,45,43,54
12095,Male,Group c,college degree,Free,Start,Married,Sometimes,Yes,3,School_bus,5-10,65,63,55
12097,Female,Group a,Associate's degree,Standard,Completed,Married,Regularly,Yes,4,School_bus,5-10,55,65,68
12098,Female,Group b,Associate's degree,Free,Completed,Married,Regularly,Yes,0,Private car,0-5,58,70,74
12099,Female,Group c,Associate's degree,Free,Start,Divorced,Never,No,3,School_bus,5-10,76,87,82
12100,Female,Group e,law degree,Standard,Completed,Married,Sometimes,Yes,4,School_bus,5-10,82,86,81
12101,Female,Group d,college degree,Free,Start,Divorced,Never,Yes,4,Own car,0-5,44,65,57
12102,Female,Group b,High school,Standard,Completed,Married,Never,No,1,School_bus,0-5,61,77,74
12103,Male,Group a,Associate's degree,Free,Completed,Married,Never,Yes,3,School_bus,5-10,83,81,76
12104,Female,Group d,law degree,Standard,Start,Married,Regularly,Yes,3,School_bus,5-10,63,62,66
12105,Female,Group b,Bachelor's degree,Free,Start,Married,Never,Yes,1,School_bus,0-5,58,69,65
12106,Male,Group c,Bachelor's degree,Standard,Start,Married,Regularly,No,4,Private car,5-10,59,46,47
12107,Female,Group e,High school,Standard,Start,Married,Sometimes,Yes,3,School_bus,0-10,93,100,96
12108,Female,Group d,Master's degree,Standard,Completed,Divorced,Sometimes,Yes,1,School_bus,10-15,98,99,100
12109,Female,Group d,law degree,Standard,Completed,Married,Sometimes,Yes,2,School_bus,5-10,56,62,64
12110,Male,Group c,Associate's degree,Free,Start,Divorced,Sometimes,Yes,5,School_bus,0-5,66,66,62
12112,Male,Group d,law degree,Standard,In progress,Married,Sometimes,Yes,3,Private car,0-5,82,73,81
12113,Male,Group d,Associate's degree,Free,Start,Married,Never,Yes,2,School_bus,0-5,67,71,69
12114,Female,Group a,Master's degree,Standard,Start,Married,Sometimes,No,2,Private car,0-10,60,63,56
12115,Male,Group e,High school,Standard,Start,Single,Sometimes,Yes,3,School_bus,5-10,69,64,62
12117,Female,Group c,college degree,Free,Completed,Single,Sometimes,Yes,2,School_bus,0-5,51,72,71
12118,Female,Group b,college degree,Standard,Completed,Married,Never,Yes,4,School_bus,0-5,78,84,90
12119,Male,Group d,Bachelor's degree,Standard,Completed,Married,Sometimes,Yes,3,School_bus,5-10,76,54,64
12120,Male,Group e,law degree,Standard,In progress,Married,Sometimes,Yes,1,School_bus,0-10,72,71,65
12121,Female,Group c,Associate's degree,Standard,Start,Single,Regularly,No,3,School_bus,0-5,77,86,88
12122,Female,Group e,college degree,Standard,Start,Married,Regularly,Yes,3,School_bus,5-10,76,82,80
12123,Male,Group d,Bachelor's degree,Standard,Start,Married,Never,Yes,5,School_bus,0-10,89,89,96
12124,Female,Group b,Professional certification,Standard,Completed,Divorced,Regularly,No,2,School_bus,0-5,84,97,98
12125,Male,Group c,college degree,Free,Start,Married,Sometimes,No,1,Private car,5-10,71,71,68
12126,Female,Group f,college degree,Standard,Completed,Single,Never,No,2,Own car,5-10,68,77,79
12127,Female,Group c,High school,Standard,Completed,Married,Regularly,Yes,0,School_bus,5-10,59,80,77
12128,Male,Group d,Associate's degree,Standard,Start,Married,Sometimes,No,3,Own car,0-10,67,54,55
12129,Female,Group b,Associate's degree,Standard,Completed,Widowed,Sometimes,Yes,3,Private car,5-10,64,83,81
12130,Male,Group b,High school,Free,Start,Married,Regularly,Yes,2,School_bus,5-10,75,74,69
12131,Male,Group c,Master's degree,Standard,Start,Married,Sometimes,Yes,4,School_bus,5-10,69,66,67
12132,Male,Group d,High school,Standard,Start,Married,Regularly,Yes,2,Own car,0-5,83,68,63
12133,Female,Group e,High school,Standard,Start,Married,Regularly,No,1,Private car,0-5,85,93,89
12134,Male,Group c,Professional certification,Standard,Start,Married,Never,Yes,1,School_bus,5-10,73,70,62
12135,Male,Group c,law degree,Standard,Completed,Married,Regularly,Yes,3,Private car,5-10,96,87,83
12136,Female,Group d,college degree,Standard,Start,Married,Regularly,Yes,1,Private car,0-10,75,79,83
12137,Male,Group a,law degree,Free,Start,Divorced,Regularly,No,4,Private car,0-10,56,45,44
12138,Female,Group d,Associate's degree,Free,Start,Married,Sometimes,Yes,1,School_bus,5-10,52,65,66
12139,Male,Group d,law degree,Standard,Start,Widowed,Sometimes,Yes,2,Private car,5-10,52,44,50
12140,Male,Group f,Associate's degree,Free,In progress,Married,Never,Yes,4,School_bus,0-10,72,74,71
12141,Female,Group e,High school,Standard,Start,Divorced,Never,Yes,3,School_bus,5-10,90,93,88
12142,Female,Group b,college degree,Standard,Completed,Married,Sometimes,Yes,0,School_bus,5-10,89,92,95
12143,Female,Group c,law degree,Standard,Start,Married,Sometimes,No,2,Private car,5-10,68,73,73
12144,Female,Group d,Professional certification,Standard,Completed,Single,Never,Yes,1,Private car,5-10,83,94,92
12145,Male,Group e,Bachelor's degree,Free,Start,Single,Regularly,No,2,Own car,5-10,83,77,71
12146,Female,Group c,High school,Standard,Start,Single,Sometimes,Yes,1,Private car,5-10,75,88,84
12147,Male,Group d,law degree,Free,Completed,Married,Sometimes,Yes,3,School_bus,5-10,48,46,48
12148,Male,Group c,college degree,Standard,In progress,Married,Sometimes,Yes,1,Private car,5-10,58,63,61
12149,Male,Group d,Bachelor's degree,Standard,Completed,Married,Sometimes,No,4,School_bus,5-10,94,95,98
12150,Female,Group e,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,5-10,71,82,77
12151,Male,Group d,college degree,Standard,Completed,Divorced,Regularly,Yes,3,School_bus,0-5,80,65,79
12152,Male,Group c,law degree,Free,Completed,Married,Sometimes,Yes,2,Private car,5-10,77,76,77
12153,Female,Group b,Associate's degree,Standard,Start,Married,Regularly,Yes,5,Private car,0-5,72,82,80
12154,Female,Group e,High school,Standard,Completed,Single,Sometimes,No,3,Private car,5-10,65,75,81
12155,Female,Group f,law degree,Standard,Completed,Married,Sometimes,Yes,5,School_bus,5-10,65,82,86
12156,Male,Group e,Associate's degree,Standard,Start,Married,Regularly,Yes,1,Private car,0-10,89,72,71
12157,Male,Group b,college degree,Standard,Start,Single,Sometimes,No,1,Private car,5-10,75,64,63
12158,Male,Group c,High school,Free,Start,Married,Regularly,Yes,3,Own car,0-10,54,56,56
12159,Female,Group b,college degree,Standard,In progress,Married,Sometimes,No,1,School_bus,0-5,54,65,64
12160,Male,Group c,college degree,Standard,Start,Married,Sometimes,Yes,1,School_bus,0-10,70,73,67
12162,Female,Group c,law degree,Free,Start,Married,Sometimes,Yes,1,Private car,5-10,68,83,75
12163,Female,Group d,law degree,Standard,Start,Married,Never,No,2,School_bus,0-5,78,74,80
12164,Male,Group b,Associate's degree,Standard,Start,Married,Sometimes,Yes,1,School_bus,0-5,71,76,63
12165,Male,Group c,college degree,Free,Start,Widowed,Never,Yes,0,School_bus,10-15,40,45,41
12166,Male,Group c,law degree,Free,Start,Married,Never,Yes,3,Private car,0-10,69,66,64
12167,Male,Group b,Bachelor's degree,Standard,Start,Single,Sometimes,No,1,Private car,5-10,65,70,65
12168,Female,Group d,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,5-10,75,62,69
12169,Male,Group c,Associate's degree,Standard,Completed,Married,Regularly,Yes,2,School_bus,0-10,82,75,75
12170,Female,Group c,Master's degree,Free,Start,Divorced,Sometimes,Yes,0,School_bus,0-5,78,92,89
12171,Female,Group d,college degree,Free,Start,Married,Regularly,No,1,Own car,5-10,69,72,72
12172,Male,Group d,law degree,Standard,Start,Married,Sometimes,No,2,Private car,0-5,64,65,60
12173,Female,Group d,college degree,Standard,Start,Married,Regularly,No,1,School_bus,0-5,53,55,57
12174,Female,Group b,college degree,Standard,Start,Married,Sometimes,Yes,2,Private car,5-10,61,67,65
12175,Female,Group c,Associate's degree,Standard,Start,Divorced,Sometimes,Yes,1,School_bus,5-10,47,56,61
12176,Female,Group b,Associate's degree,Standard,Completed,Married,Regularly,Yes,0,School_bus,0-5,85,88,98
12177,Male,Group c,law degree,Standard,Start,Divorced,Sometimes,No,3,School_bus,5-10,60,58,52
12178,Male,Group e,Associate's degree,Standard,Start,Married,Sometimes,Yes,3,School_bus,5-10,85,82,67
12179,Male,Group b,college degree,Standard,Completed,Divorced,Regularly,No,3,Private car,0-5,63,69,68
12180,Male,Group f,High school,Free,Completed,Married,Regularly,Yes,2,Own car,0-5,76,73,72
12181,Male,Group a,High school,Free,Start,Single,Sometimes,Yes,0,School_bus,0-5,43,43,40
12182,Female,Group d,High school,Free,Completed,Single,Never,Yes,3,Private car,0-10,53,71,77
12183,Male,Group d,college degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,71,65,61
12184,Female,Group f,Professional certification,Free,Start,Married,Regularly,Yes,3,Private car,0-5,60,75,68
12185,Female,Group c,law degree,Free,Completed,Married,Sometimes,Yes,4,Private car,10-15,53,57,64
12186,Male,Group f,Bachelor's degree,Free,Start,Married,Sometimes,Yes,3,Own car,0-10,50,54,49
12187,Female,Group c,law degree,Standard,Start,Single,Never,Yes,0,School_bus,0-10,52,62,58
12188,Male,Group f,Associate's degree,Standard,Completed,Married,Regularly,No,1,School_bus,5-10,52,66,68
12189,Male,Group c,college degree,Standard,Completed,Married,Sometimes,Yes,1,Private car,0-5,78,75,75
12190,Female,Group c,Professional certification,Standard,Start,Divorced,Never,No,1,Private car,5-10,35,54,51
12191,Male,Group c,High school,Free,Completed,Married,Sometimes,Yes,1,School_bus,0-5,57,50,51
12192,Male,Group c,Professional certification,Standard,Start,Married,Sometimes,Yes,2,Private car,5-10,68,65,66
12193,Male,Group d,college degree,Free,Start,Single,Regularly,Yes,2,Private car,5-10,48,55,56
12195,Male,Group c,Master's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,0-5,64,60,54
12196,Female,Group e,High school,Standard,Start,Married,Regularly,Yes,0,School_bus,0-10,73,73,65
12197,Male,Group b,law degree,Free,Completed,Single,Sometimes,Yes,5,School_bus,0-5,60,54,50
12198,Female,Group a,college degree,Standard,In progress,Married,Sometimes,No,2,School_bus,0-10,61,66,70
12199,Female,Group c,law degree,Standard,Start,Divorced,Regularly,No,2,School_bus,5-10,53,58,64
12200,Male,Group b,law degree,Standard,Completed,Single,Sometimes,Yes,2,Own car,0-5,81,82,77
12201,Female,Group c,Associate's degree,Free,Start,Married,Sometimes,No,4,School_bus,5-10,55,72,66
12202,Male,Group b,High school,Free,Start,Married,Never,Yes,2,Private car,5-10,53,60,51
12203,Male,Group c,Master's degree,Free,Start,Divorced,Sometimes,Yes,2,Private car,0-10,68,64,59
12204,Male,Group c,Bachelor's degree,Standard,Completed,Married,Regularly,Yes,2,Private car,0-5,81,78,79
12205,Female,Group d,Associate's degree,Standard,In progress,Divorced,Sometimes,Yes,4,School_bus,5-10,76,85,79
12206,Female,Group c,college degree,Free,Start,Single,Sometimes,No,4,School_bus,0-5,31,40,42
12207,Female,Group b,High school,Standard,Completed,Married,Regularly,Yes,1,School_bus,5-10,90,97,94
12208,Female,Group b,Master's degree,Free,Completed,Married,Regularly,Yes,2,School_bus,0-5,36,65,64
12209,Female,Group b,college degree,Free,Start,Married,Sometimes,Yes,0,Private car,5-10,62,74,69
12210,Male,Group e,law degree,Free,Completed,Married,Sometimes,Yes,1,School_bus,5-10,60,60,60
12211,Male,Group b,law degree,Standard,Completed,Married,Never,Yes,6,School_bus,5-10,68,60,63
12212,Female,Group b,High school,Standard,Start,Divorced,Sometimes,Yes,3,Private car,0-10,85,98,94
12213,Male,Group b,Associate's degree,Free,Start,Married,Sometimes,Yes,2,Private car,0-10,49,55,52
12214,Male,Group b,Professional certification,Free,In progress,Divorced,Regularly,Yes,3,School_bus,0-5,65,59,61
12215,Male,Group b,college degree,Standard,Start,Divorced,Never,No,3,School_bus,0-10,55,55,51
12216,Male,Group b,Master's degree,Free,In progress,Divorced,Never,Yes,0,Private car,5-10,73,66,65
12218,Female,Group e,college degree,Standard,Start,Single,Regularly,Yes,1,School_bus,5-10,64,68,60
12219,Male,Group d,Associate's degree,Standard,Completed,Single,Regularly,Yes,0,Private car,0-5,55,47,52
12220,Male,Group b,High school,Free,Start,Single,Sometimes,Yes,3,School_bus,5-10,58,57,51
12221,Female,Group e,High school,Standard,Start,Divorced,Sometimes,Yes,2,Own car,5-10,46,50,49
12222,Male,Group c,Professional certification,Standard,Start,Single,Never,Yes,6,School_bus,0-5,81,74,73
12223,Female,Group c,college degree,Standard,Start,Divorced,Sometimes,Yes,2,Private car,0-5,62,67,67
12224,Female,Group c,law degree,Standard,Completed,Single,Regularly,No,1,Private car,0-10,83,83,88
12225,Male,Group c,college degree,Free,Start,Married,Regularly,Yes,1,Private car,5-10,69,61,63
12226,Female,Group c,Associate's degree,Standard,Start,Married,Sometimes,No,2,School_bus,0-5,67,69,70
12227,Female,Group c,High school,Free,Start,Married,Sometimes,Yes,1,Own car,5-10,63,77,70
12228,Male,Group d,High school,Free,Start,Divorced,Regularly,No,1,School_bus,5-10,62,56,57
12229,Male,Group b,Associate's degree,Free,Completed,Single,Regularly,No,4,Own car,5-10,69,65,71
12230,Male,Group d,Professional certification,Standard,Completed,Married,Regularly,Yes,5,Private car,5-10,65,74,74
12232,Male,Group d,law degree,Free,Start,Single,Never,Yes,2,School_bus,5-10,55,46,48
12234,Female,Group d,High school,Standard,Completed,Divorced,Regularly,Yes,0,School_bus,0-5,45,44,50
12235,Male,Group f,law degree,Free,Completed,Single,Sometimes,No,1,School_bus,0-10,49,49,44
12236,Female,Group b,Bachelor's degree,Standard,Start,Married,Never,Yes,0,Private car,10-15,67,79,79
12237,Female,Group c,Associate's degree,Standard,Start,Married,Regularly,No,1,Private car,0-5,67,84,81
12238,Female,Group e,Bachelor's degree,Free,Start,Single,Regularly,Yes,3,Private car,5-10,62,78,77
12239,Female,Group d,Associate's degree,Standard,Completed,Single,Regularly,Yes,2,School_bus,0-5,60,84,82
12240,Male,Group c,Associate's degree,Free,In progress,Married,Sometimes,No,2,Own car,0-10,58,55,53
12241,Male,Group d,Bachelor's degree,Free,Start,Divorced,Regularly,Yes,1,School_bus,0-5,59,52,59
12242,Female,Group e,High school,Free,Start,Single,Regularly,Yes,1,School_bus,5-10,83,85,88
12243,Female,Group d,law degree,Standard,Start,Married,Sometimes,Yes,2,Own car,0-5,49,57,54
12244,Male,Group c,High school,Free,Start,Married,Regularly,Yes,0,Own car,0-5,47,43,44
12245,Female,Group b,Bachelor's degree,Free,Completed,Single,Regularly,Yes,3,Own car,5-10,58,63,71
12246,Male,Group b,Associate's degree,Free,Completed,Married,Regularly,No,1,School_bus,5-10,56,56,51
12247,Female,Group d,Master's degree,Standard,Start,Single,Sometimes,Yes,0,School_bus,5-10,82,91,97
12248,Female,Group c,law degree,Standard,In progress,Married,Sometimes,Yes,1,School_bus,5-10,59,69,72
12249,Female,Group b,Associate's degree,Standard,In progress,Divorced,Never,Yes,4,Private car,0-5,49,57,56
12250,Male,Group f,law degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,70,63,61
12251,Female,Group b,Associate's degree,Standard,Start,Married,Never,Yes,3,Private car,5-10,75,88,85
12252,Male,Group d,Bachelor's degree,Free,Completed,Divorced,Regularly,Yes,3,School_bus,0-10,62,60,61
12253,Female,Group c,law degree,Free,In progress,Single,Regularly,Yes,2,School_bus,5-10,63,68,72
12254,Female,Group c,college degree,Free,Start,Married,Regularly,Yes,2,Private car,0-10,53,66,58
12255,Female,Group c,Associate's degree,Standard,Completed,Divorced,Never,Yes,0,School_bus,5-10,65,88,78
12256,Female,Group f,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,76,83,85
12257,Female,Group e,Associate's degree,Standard,Start,Single,Regularly,Yes,1,Private car,5-10,79,74,74
12258,Male,Group d,Associate's degree,Standard,Completed,Married,Regularly,No,3,School_bus,5-10,73,59,65
12259,Female,Group a,High school,Standard,Start,Married,Regularly,Yes,2,Private car,5-10,70,82,79
12260,Male,Group c,High school,Free,Completed,Married,Regularly,Yes,1,Private car,5-10,58,66,60
12261,Female,Group c,college degree,Standard,Start,Married,Sometimes,Yes,4,Private car,0-5,68,69,68
12262,Male,Group c,law degree,Standard,Start,Single,Sometimes,No,4,School_bus,5-10,73,72,73
12263,Male,Group b,Bachelor's degree,Standard,Completed,Married,Sometimes,No,2,School_bus,5-10,95,100,98
12264,Male,Group b,college degree,Free,Start,Divorced,Regularly,Yes,3,Own car,5-10,79,77,73
12265,Male,Group b,High school,Free,Start,Divorced,Never,Yes,4,Private car,0-5,42,49,39
12266,Female,Group b,Associate's degree,Standard,Start,Single,Regularly,Yes,1,School_bus,0-5,64,76,74
12267,Female,Group b,Associate's degree,Free,Start,Married,Sometimes,Yes,3,Private car,0-5,55,58,55
12268,Female,Group c,college degree,Standard,Start,Single,Sometimes,No,2,Private car,5-10,83,86,81
12269,Male,Group c,law degree,Free,In progress,Divorced,Sometimes,Yes,1,School_bus,10-15,56,61,56
12270,Female,Group e,Associate's degree,Free,Start,Married,Sometimes,Yes,1,Private car,5-10,73,83,81
12271,Female,Group c,college degree,Standard,Completed,Single,Sometimes,Yes,2,School_bus,0-5,62,65,61
12273,Female,Group c,Master's degree,Standard,Start,Married,Regularly,Yes,0,School_bus,0-10,72,74,83
12274,Male,Group e,Associate's degree,Free,Start,Married,Sometimes,Yes,3,Private car,0-5,33,28,30
12275,Male,Group d,law degree,Standard,Completed,Married,Never,Yes,4,School_bus,5-10,76,62,68
12276,Female,Group c,Associate's degree,Free,Start,Married,Sometimes,Yes,2,School_bus,0-5,32,58,54
12277,Female,Group a,High school,Standard,Completed,Single,Sometimes,Yes,1,Private car,5-10,72,90,86
